Date,Volume BTC
2019-06-09 00:00:00,245.97
2019-06-10 00:00:00,366.6
2019-06-11 00:00:00,790.86
2019-06-12 00:00:00,855.9
2019-06-13 00:00:00,1024.77
2019-06-14 00:00:00,1187.99
2019-06-15 00:00:00,1113.08
2019-06-16 00:00:00,406.36
2019-06-17 00:00:00,788.9
2019-06-18 00:00:00,1512.68
2019-06-19 00:00:00,1139.7
2019-06-20 00:00:00,845.79
2019-06-21 00:00:00,678.34
2019-06-22 00:00:00,1611.31
2019-06-23 00:00:00,1489.72
2019-06-24 00:00:00,446.36
2019-06-25 00:00:00,1185.44
2019-06-26 00:00:00,2121.66
2019-06-27 00:00:00,4643.04
2019-06-28 00:00:00,3409.36
2019-06-29 00:00:00,1854.56
2019-06-30 00:00:00,654.64
2019-07-01 00:00:00,922.06
2019-07-02 00:00:00,2109.73
2019-07-03 00:00:00,2120.41
2019-07-04 00:00:00,1775.76
2019-07-05 00:00:00,1309.91
2019-07-06 00:00:00,1035.47
2019-07-07 00:00:00,412.89
2019-07-08 00:00:00,230.03
2019-07-09 00:00:00,1712.02
2019-07-10 00:00:00,1374.88
2019-07-11 00:00:00,2003.31
2019-07-12 00:00:00,1537.02
2019-07-13 00:00:00,856.23
2019-07-14 00:00:00,737.98
2019-07-15 00:00:00,1027.11
2019-07-16 00:00:00,1366.05
2019-07-17 00:00:00,2366.18
2019-07-18 00:00:00,1563.71
2019-07-19 00:00:00,2410.17
2019-07-20 00:00:00,1150.33
2019-07-21 00:00:00,742.46
2019-07-22 00:00:00,366.06
2019-07-23 00:00:00,1021.25
2019-07-24 00:00:00,1181.53
2019-07-25 00:00:00,1203.6
2019-07-26 00:00:00,881.11
2019-07-27 00:00:00,815.41
2019-07-28 00:00:00,680.7
2019-07-29 00:00:00,366.53
2019-07-30 00:00:00,761.68
2019-07-31 00:00:00,951.7
2019-08-01 00:00:00,1206.65
2019-08-02 00:00:00,1381.26
2019-08-03 00:00:00,1656.05
2019-08-04 00:00:00,541.28
2019-08-05 00:00:00,718.72
2019-08-06 00:00:00,2835.78
2019-08-07 00:00:00,2074.7
2019-08-08 00:00:00,1538.77
2019-08-09 00:00:00,1033.06
2019-08-10 00:00:00,724.17
2019-08-11 00:00:00,569.35
2019-08-12 00:00:00,234.88
2019-08-13 00:00:00,658.23
2019-08-14 00:00:00,1334.39
2019-08-15 00:00:00,1058.9
2019-08-16 00:00:00,1205
2019-08-17 00:00:00,973.84
2019-08-18 00:00:00,341.19
2019-08-19 00:00:00,195.24
2019-08-20 00:00:00,1184.72
2019-08-21 00:00:00,816.16
2019-08-22 00:00:00,1455.06
2019-08-23 00:00:00,664.19
2019-08-24 00:00:00,807.45
2019-08-25 00:00:00,352.46
2019-08-26 00:00:00,423.14
2019-08-27 00:00:00,847.23
2019-08-28 00:00:00,720.7
2019-08-29 00:00:00,1220.43
2019-08-30 00:00:00,1035.1
2019-08-31 00:00:00,719.07
2019-09-01 00:00:00,268.82
2019-09-02 00:00:00,150.49
2019-09-03 00:00:00,1260.23
2019-09-04 00:00:00,1683.88
2019-09-05 00:00:00,1130.95
2019-09-06 00:00:00,619.34
2019-09-07 00:00:00,1141.39
2019-09-08 00:00:00,200.11
2019-09-09 00:00:00,188.06
2019-09-10 00:00:00,712.26
2019-09-11 00:00:00,762.59
2019-09-12 00:00:00,674.71
2019-09-13 00:00:00,543.87
2019-09-14 00:00:00,451.71
2019-09-15 00:00:00,141.2
2019-09-16 00:00:00,111.23
2019-09-17 00:00:00,619.21
2019-09-18 00:00:00,513.05
2019-09-19 00:00:00,565.69
2019-09-20 00:00:00,1154.39
2019-09-21 00:00:00,495.75
2019-09-22 00:00:00,261.93
2019-09-23 00:00:00,153.14
2019-09-24 00:00:00,755.17
2019-09-25 00:00:00,2444.46
2019-09-26 00:00:00,1624.67
2019-09-27 00:00:00,1530.47
2019-09-28 00:00:00,1058.42
2019-09-29 00:00:00,309.96
2019-09-30 00:00:00,258.97
2019-10-01 00:00:00,967.46
2019-10-02 00:00:00,932.56
2019-10-03 00:00:00,741.37
2019-10-04 00:00:00,793.98
